1,928924,8,Basic
100,7483,4,Basic
101,1001,1,Standard
102,1002,1,Advanced
103,1003,2,Basic
104,1004,1,Super
105,1005,3,Standard
106,1006,2,Advanced
107,1007,1,Basic
108,1008,1,Standard
109,1009,3,Super
11,605497,1,Standard
110,1010,2,Standard
13,48480,9,Super
17,193390,4,Super
18,526334,5,Super
2,389374,8,Super
21,827286,1,Standard
226,10021,5,Advanced
227,10022,5,Standard
228,10023,5,Super
24,85301,8,Super
28,441798,3,Advanced
3,443852,8,Super
33,377471,2,Advanced
34,806446,5,Basic
37,970389,1,Advanced
38,925303,4,Basic
4,851110,3,Standard
48,226242,8,Standard
49,726392,2,Standard
50,704891,8,Advanced
54,74788,6,Advanced
56,524885,3,Basic
57,696510,0,Advanced
6,564767,1,Advanced
61,870364,1,Super
66,410798,9,Basic
69,907830,8,Standard
7,810741,8,Basic
70,379586,2,Advanced
72,71087,1,Advanced
74,213381,5,Advanced
77,265171,2,Standard
78,11607,4,Advanced
84,700241,3,Basic
85,491023,9,Basic
88,109699,1,Basic
97,12917,9,Super
99,724730,5,Advanced
