34,10
96,10
2,13
39,13
54,13
14,14
28,15
9,16
1,17
99,18
45,19
79,19
52,2
301,201
306,201
701,201
302,202
307,202
702,202
303,203
308,203
703,203
304,204
309,204
704,204
305,205
310,205
705,205
311,206
706,206
312,207
707,207
708,208
709,209
710,210
313,211
314,212
315,213
316,214
317,215
22601,216
22606,216
22801,216
22602,217
22607,217
22802,217
22603,218
22608,218
22803,218
22604,219
22609,219
22804,219
22605,220
22610,220
22805,220
22611,221
22701,221
22612,222
22702,222
22613,223
22703,223
22614,224
22704,224
22705,225
22706,225
22707,225
22708,225
19,23
98,24
75,27
83,28
27,3
37,3
67,30
25,31
26,31
81,31
92,33
53,35
51,38
88,39
94,39
16,4
43,41
44,43
5,45
55,45
58,45
31,46
18,5
3,50
601,501
602,502
603,503
604,504
605,505
606,506
607,507
608,508
609,509
47,51
610,510
611,511
612,512
613,513
614,514
615,515
78,57
66,58
69,58
10,60
50,60
57,63
13,64
4,64
7,64
71,67
63,75
23,77
73,77
85,79
24,8
65,8
87,81
30,85
84,88
8,89
60,9
46,90
49,91
15,93
22,94
35,97
64,98
