1,67
100,71
101,306
101,311
102,307
102,312
103,308
104,309
105,310
106,313
107,314
108,315
109,316
11,57
110,317
12,84
14,66
15,38
15,8
19,96
2,18
2,56
20,62
226,22601
226,22602
226,22603
226,22604
226,22605
226,22606
226,22607
226,22608
226,22609
226,22610
226,22611
226,22612
226,22613
226,22614
227,22701
227,22702
227,22703
227,22704
227,22705
227,22706
227,22707
227,22708
228,22801
228,22802
228,22803
228,22804
228,22805
24,23
25,59
25,6
26,73
29,44
3,11
33,61
33,87
34,89
37,10
37,30
39,22
4,100
42,28
42,77
45,54
49,2
49,50
49,74
5,35
51,39
51,46
52,19
53,86
55,88
57,25
57,65
59,15
6,5
60,76
61,33
62,32
62,78
64,97
67,69
69,80
7,91
71,29
72,79
72,93
75,1
75,70
76,51
77,49
78,42
78,94
8,16
8,85
81,48
82,81
89,40
94,20
98,68
99,90
